数据库：分省年度数据
指标：地区生产总值(亿元)
时间：最近10年
地区,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,23014.59,21330.83,19800.81,17879.40,16251.93,14113.58,12153.03,11115.00,9846.81,8117.78
天津市,16538.19,15726.93,14442.01,12893.88,11307.28,9224.46,7521.85,6719.01,5252.76,4462.74
河北省,29806.11,29421.15,28442.95,26575.01,24515.76,20394.26,17235.48,16011.97,13607.32,11467.60
山西省,12766.49,12761.49,12665.25,12112.83,11237.55,9200.86,7358.31,7315.40,6024.45,4878.61
内蒙古自治区,17831.51,17770.19,16916.50,15880.58,14359.88,11672.00,9740.25,8496.20,6423.18,4944.25
辽宁省,28669.02,28626.58,27213.22,24846.43,22226.70,18457.27,15212.49,13668.58,11164.30,9304.52
吉林省,14063.13,13803.14,13046.40,11939.24,10568.83,8667.58,7278.75,6426.10,5284.69,4275.12
黑龙江省,15083.67,15039.38,14454.91,13691.58,12582.00,10368.60,8587.00,8314.37,7104.00,6211.80
上海市,25123.45,23567.70,21818.15,20181.72,19195.69,17165.98,15046.45,14069.86,12494.01,10572.24
江苏省,70116.38,65088.32,59753.37,54058.22,49110.27,41425.48,34457.30,30981.98,26018.48,21742.05
浙江省,42886.49,40173.03,37756.58,34665.33,32318.85,27722.31,22990.35,21462.69,18753.73,15718.47
安徽省,22005.63,20848.75,19229.34,17212.05,15300.65,12359.33,10062.82,8851.66,7360.92,6112.50
福建省,25979.82,24055.76,21868.49,19701.78,17560.18,14737.12,12236.53,10823.01,9248.53,7583.85
江西省,16723.78,15714.63,14410.19,12948.88,11702.82,9451.26,7655.18,6971.05,5800.25,4820.53
山东省,63002.33,59426.59,55230.32,50013.24,45361.85,39169.92,33896.65,30933.28,25776.91,21900.19
河南省,37002.16,34938.24,32191.30,29599.31,26931.03,23092.36,19480.46,18018.53,15012.46,12362.79
湖北省,29550.19,27379.22,24791.83,22250.45,19632.26,15967.61,12961.10,11328.92,9333.40,7617.47
湖南省,28902.21,27037.32,24621.67,22154.23,19669.56,16037.96,13059.69,11555.00,9439.60,7688.67
广东省,72812.55,67809.85,62474.79,57067.92,53210.28,46013.06,39482.56,36796.71,31777.01,26587.76
广西壮族自治区,16803.12,15672.89,14449.90,13035.10,11720.87,9569.85,7759.16,7021.00,5823.41,4746.16
海南省,3702.76,3500.72,3177.56,2855.54,2522.66,2064.50,1654.21,1503.06,1254.17,1065.67
重庆市,15717.27,14262.60,12783.26,11409.60,10011.37,7925.58,6530.01,5793.66,4676.13,3907.23
四川省,30053.10,28536.66,26392.07,23872.80,21026.68,17185.48,14151.28,12601.23,10562.39,8690.24
贵州省,10502.56,9266.39,8086.86,6852.20,5701.84,4602.16,3912.68,3561.56,2884.11,2338.98
云南省,13619.17,12814.59,11832.31,10309.47,8893.12,7224.18,6169.75,5692.12,4772.52,3988.14
西藏自治区,1026.39,920.83,815.67,701.03,605.83,507.46,441.36,394.85,341.43,290.76
陕西省,18021.86,17689.94,16205.45,14453.68,12512.30,10123.48,8169.80,7314.58,5757.29,4743.61
甘肃省,6790.32,6836.82,6330.69,5650.20,5020.37,4120.75,3387.56,3166.82,2703.98,2277.35
青海省,2417.05,2303.32,2122.06,1893.54,1670.44,1350.43,1081.27,1018.62,797.35,648.50
宁夏回族自治区,2911.77,2752.10,2577.57,2341.29,2102.21,1689.65,1353.31,1203.92,919.11,725.90
新疆维吾尔自治区,9324.80,9273.46,8443.84,7505.31,6610.05,5437.47,4277.05,4183.21,3523.16,3045.26
"注：本表按当年价格计算。2004年以前地区生产总值数据执行《国民经济行业分类》（GB/T4754-1994），2004-2012年地区生产总值数据执行《国民经济行业分类》（GB/T4754-2002）,三次产业划分根据《三次产业划分规定》（2003）。2013年开始，行业分类执行《国民经济行业分类》（GB/T4754-2011），三次产业划分根据《三次产业划分规定》（2012）。"
数据来源：国家统计局
