,標題,产权性质,住宅类别,建筑类别,参考月供,年代,建筑面积,户型,楼层,物 业 费,物业类型,结构,装修,總價
0,急售70年产权房源 房东装修 户型正气 产证清晰 随时看房,个人产权,普通住宅,板楼,,1989年,70.4,2室2厅1厨1卫,中层(共6层),暂无资料,住宅,平层,精装修,30.6
1,世纪大道站  福山外国语+建平西校 看房随时急卖,个人产权,普通住宅,塔楼,,1989年,49.82,2室1厅0厨1卫,中层(共6层),1元/平米・月,住宅,平层,简装修,418.0
2,大四房出售，带会所+高区景观+车位,个人产权,普通住宅,,,2005年,288.3,4室2厅0厨2卫,高层(共40层),3.5元/平米・月,住宅,,精装修,2650.0
3,精装二房全明户型户型好客厅主卧朝南带阳台看房方便,商品房,,板楼,,1994年,56.0,2室1厅1厨1卫,高层(共6层),0.4元/平米・月,住宅,平层,简装修,280.0
4,"满五税费少,房东接受置换客户,房东这边房子已经看好,急卖",个人产权,普通住宅,钢混,,1998年,58.0,2室1厅1厨1卫,高层(共6层),0.4元/平米・月,住宅,平层,精装修,190.0
5,延吉控江一楼天井精装修水丰南北通透,商品房,,板楼,,1986年,35.0,1室2厅1厨1卫,低层(共6层),0.85元/平米・月,住宅,平层,简装修,205.0
6,纯双拼别墅，外环旁低总价，奢华大厅，美极了,,,,,,237.0,4室3厅1厨4卫,,3.8元/平米・月,别墅,,,1000.0
7,纪联小区，，大一房一厅，精装修，，！诚售,个人产权,普通住宅,板楼,,1996年,50.0,1室1厅1厨1卫,中层(共6层),暂无资料,住宅,平层,精装修,230.0
8,特荐：淞南精品实惠小户型 双南户型 一梯两户 性价比很高哦,商品房,普通住宅,塔楼,,1994年,68.81,2室1厅1厨1卫,低层(共6层),0.8元/平米・月,住宅,平层,中装修,273.0
9,成熟正规小区。二楼。双南两房。距离 看房随时。,个人产权,普通住宅,板楼,,1996年,72.0,2室1厅1厨1卫,低层(共6层),0.5元/平米・月,住宅,平层,精装修,410.0
10,11年次新 业主急降 繁华地段 满5年 税费少,个人产权,普通住宅,板楼,,2011年,110.0,2室2厅1厨1卫,中层(共34层),4.3元/・月,住宅,平层,豪华装修,1000.0
11,绿城豪宅，精品纯独栋，格局方正，双南设计，全明通透，豪华气派,,,,,,502.0,5室3厅2厨6卫,,6.5元/平方米・月,别墅,,,2798.0
12,月浦八村繁华地段 毗邻公园双南两房 双轨交通,个人产权,普通住宅,,,1991年,47.12,2室0厅0厨1卫,高层(共6层),0.6元/平米・月,住宅,,中装修,180.0
13,新出房源 房东置换 新房已看好 放价10万 诚心出售 满五税费少,个人产权,普通住宅,板楼,,1995年,35.12,1室1厅1厨1卫,中层(共6层),0.5元/平米・月,住宅,平层,精装修,185.0
14,"开发商内部保留房,一手房更名,全新豪华装修！带产权车位！",个人产权,普通住宅,钢混,,2017年,123.0,3室2厅1厨2卫,中层(共16层),4.8元/・月,住宅,平层,精装修,508.0
15,艺泰安邦，精装修南北通房东保养不错可拎包住房子满五税费少,个人产权,普通住宅,板楼,,2012年,87.0,2室2厅1厨1卫,低层(共18层),1.4元/平米・月,住宅,平层,精装修,270.0
16,1号线，闸北公园景观房，十院，精装修，生活便利,个人产权,普通住宅,板楼,,2002年,103.0,2室2厅1厨1卫,中层(共28层),1.5元/平米・月,住宅,平层,精装修,700.0
17,新出长桥八村一房一厅 全明四楼 房东置换急卖 徐教院,个人产权,普通住宅,板楼,,1996年,45.0,1室1厅1厨1卫,中层(共6层),0.8元/平米・月,住宅,平层,简装修,258.0
18,光新路191弄 南北通透两室户 地段佳 出行方便满五少税,个人产权,普通住宅,板楼,,1990年,47.0,2室1厅1厨1卫,低层(共6层),0.3元/平米・月,住宅,平层,精装修,
19,正规成熟小区，小区中间非常安静，黄金楼层，光线非常好！,个人产权,普通住宅,板楼,,1970年,22.5,1室1厅1厨1卫,中层(共6层),0.3元/平米・月,住宅,平层,精装修,90.0
20,金地品质―对口顾村试验学校―精装交付―送20平大露台―只付契税,个人产权,普通住宅,板楼,,2017年,90.0,3室2厅1厨1卫,高层(共8层),2.95元/・月,住宅,平层,精装修,340.0
21,市光一村 3楼 双南户型 满五无税 出门欧尚 天行好房源,个人产权,普通住宅,板楼,,1993年,57.88,2室1厅1厨1卫,中层(共6层),0.8元/平米・月,住宅,平层,中装修,318.0
22,金都花好悦园五期，精装南北通2房 中心位置，田园外国语小学,个人产权,普通住宅,板楼,,2004年,90.0,2室2厅1厨1卫,中层(共6层),0.8元/平米・月,住宅,平层,精装修,420.0
23,业主移民急售低于市场价300万高区全屋地暖中央空调送车位有钥匙,个人产权,普通住宅,板楼,,2004年,161.09,3室2厅1厨2卫,高层(共21层),3.05元/平米・月,住宅,平层,豪华装修,900.0
24,迪士尼旁精装一手住宅，绿都绣云里，总价低至280万，日后必涨,商品房,普通住宅,板楼,,2016年,116.0,4室2厅1厨2卫,中层(共14层),3.8元/・月,住宅,平层,精装修,453.0
25,三林新村，精装一房，低于市场价50万，前滩覆盖区域，房东诚售,个人产权,普通住宅,板楼,,2015年,57.0,1室1厅1厨1卫,中层(共17层),0.9元/平米・月,住宅,平层,简装修,270.0
26,宜浩佳园电梯房买到就是赚到.,个人产权,普通住宅,板楼,,2008年,110.42,2室2厅1厨1卫,高层(共13层),0.99元/平米・月,住宅,平层,精装修,330.0
27,投咨300亿山水六旗主题公园 金色海岸 海景房 得房率110,个人产权,普通住宅,,,2016年,84.0,2室2厅0厨1卫,中层(共15层),暂无资料,住宅,,毛坯,80.0
