"","year","salary"
"1",2.4,6600
"2",5.5,10100
"3",3.3,7300
"4",0.2,5000
"5",1.5,6100
"6",7.4,9900
"7",7.8,9000
"8",5.6,8800
"9",2.8,8400
"10",6.2,9100
"11",7.4,10800
"12",2.4,8100
"13",1.4,6100
"14",6.5,9300
"15",4.4,8100
"16",4.1,9600
"17",4.9,8400
"18",6.4,9500
"19",7.1,10500
"20",6.3,10100
"21",3,7000
"22",1.1,5400
"23",7.4,9700
"24",1.1,5000
"25",3.5,9300
"26",0.2,4700
"27",2.2,7600
"28",2.3,6700
"29",7.8,9000
"30",2.5,7500
"31",1,4600
"32",0.4,4100
"33",3.8,9000
"34",1.6,7100
"35",0.3,4900
"36",5,9600
"37",1.2,5900
"38",1,4900
"39",1,5300
"40",6.4,8900
"41",6.3,10000
"42",7.1,9300
"43",7.5,9000
"44",4.8,8800
"45",0.3,4200
"46",0.3,5000
"47",0,3000
"48",6.1,9700
"49",5.5,9900
"50",0.8,5800
"51",4.8,9200
"52",0.4,4700
"53",7.8,9200
"54",3.6,8400
"55",7.5,10800
"56",0.5,4300
"57",5.7,9400
"58",0.5,5600
"59",3,8500
"60",6.8,10200
"61",6.8,10700
"62",7.3,10800
"63",5.5,10000
"64",0.4,4000
"65",5.1,9600
"66",7.1,10300
"67",7.2,9700
"68",5.4,8800
"69",0.8,5100
"70",7.9,9600
"71",1.8,7100
"72",6.8,9200
"73",1.4,5100
"74",7.5,10500
"75",2.2,7900
"76",1.6,7200
"77",6.6,9800
"78",1.5,5500
"79",7.4,9900
"80",6.8,9300
"81",6.9,10200
"82",7.1,9400
"83",8,10200
"84",4.9,10200
"85",6.5,9300
"86",4.8,9000
"87",1.8,5600
"88",7.1,9600
"89",2.4,7100
"90",1.2,5500
"91",1.2,5300
"92",3.6,9000
"93",6.5,10300
"94",2.2,8000
"95",3.2,7200
"96",7.9,9300
"97",2.9,7300
"98",3.3,8300
"99",4.4,8300
"100",5.7,9000
