Date,Open,High,Low,Close,Volume,Adj Close
2017-04-21,3173.15,3173.15,3173.15,3173.15,000,3173.15
2017-04-20,3172.10,3172.10,3172.10,3172.10,000,3172.10
2017-04-19,3170.69,3170.69,3170.69,3170.69,000,3170.69
2017-04-18,3196.71,3196.71,3196.71,3196.71,000,3196.71
2017-04-14,3246.07,3246.07,3246.07,3246.07,000,3246.07
2017-04-13,3275.96,3275.96,3275.96,3275.96,000,3275.96
2017-04-12,3273.83,3273.83,3273.83,3273.83,000,3273.83
2017-04-11,3288.97,3288.97,3288.97,3288.97,000,3288.97
2017-04-10,3269.39,3269.39,3269.39,3269.39,000,3269.39
2017-04-07,3286.62,3286.62,3286.62,3286.62,000,3286.62
2017-04-06,3281.00,3281.00,3281.00,3281.00,000,3281.00
2017-04-05,3270.31,3270.31,3270.31,3270.31,000,3270.31
2017-03-31,3222.51,3222.51,3222.51,3222.51,000,3222.51
2017-03-30,3210.24,3210.24,3210.24,3210.24,000,3210.24
2017-03-29,3241.31,3241.31,3241.31,3241.31,000,3241.31
2017-03-28,3252.95,3252.95,3252.95,3252.95,000,3252.95
2017-03-27,3266.96,3266.96,3266.96,3266.96,000,3266.96
2017-03-24,3269.45,3269.45,3269.45,3269.45,000,3269.45
2017-03-23,3248.55,3248.55,3248.55,3248.55,000,3248.55
2017-03-22,3245.22,3245.22,3245.22,3245.22,000,3245.22
2017-03-21,3261.61,3261.61,3261.61,3261.61,000,3261.61
2017-03-20,3250.81,3250.81,3250.81,3250.81,000,3250.81
2017-03-17,3237.45,3237.45,3237.45,3237.45,000,3237.45
2017-03-16,3268.94,3268.94,3268.94,3268.94,000,3268.94
2017-03-15,3241.76,3241.76,3241.76,3241.76,000,3241.76
2017-03-14,3239.33,3239.33,3239.33,3239.33,000,3239.33
2017-03-13,3237.02,3237.02,3237.02,3237.02,000,3237.02
2017-03-10,3212.76,3212.76,3212.76,3212.76,000,3212.76
2017-03-09,3216.75,3216.75,3216.75,3216.75,000,3216.75
2017-03-08,3240.66,3240.66,3240.66,3240.66,000,3240.66
2017-03-07,3242.41,3242.41,3242.41,3242.41,000,3242.41
2017-03-06,3233.87,3233.87,3233.87,3233.87,000,3233.87
2017-03-03,3218.31,3218.31,3218.31,3218.31,000,3218.31
2017-03-02,3230.03,3230.03,3230.03,3230.03,000,3230.03
2017-03-01,3246.93,3246.93,3246.93,3246.93,000,3246.93
2017-02-28,3241.73,3241.73,3241.73,3241.73,000,3241.73
2017-02-27,3228.66,3228.66,3228.66,3228.66,000,3228.66
2017-02-24,3253.43,3253.43,3253.43,3253.43,000,3253.43
2017-02-23,3251.38,3251.38,3251.38,3251.38,000,3251.38
2017-02-22,3261.22,3261.22,3261.22,3261.22,000,3261.22
2017-02-21,3253.33,3253.33,3253.33,3253.33,000,3253.33
2017-02-17,3202.08,3202.08,3202.08,3202.08,000,3202.08
2017-02-16,3229.62,3229.62,3229.62,3229.62,000,3229.62
2017-02-15,3212.99,3212.99,3212.99,3212.99,000,3212.99
2017-02-14,3217.93,3217.93,3217.93,3217.93,000,3217.93
2017-02-13,3216.84,3216.84,3216.84,3216.84,000,3216.84
2017-02-10,3196.70,3196.70,3196.70,3196.70,000,3196.70
2017-02-09,3183.18,3183.18,3183.18,3183.18,000,3183.18
2017-02-08,3166.98,3166.98,3166.98,3166.98,000,3166.98
2017-02-07,3153.09,3153.09,3153.09,3153.09,000,3153.09
2017-02-06,3156.98,3156.98,3156.98,3156.98,000,3156.98
2017-02-03,3140.17,3140.17,3140.17,3140.17,000,3140.17
2017-01-26,3159.17,3159.17,3159.17,3159.17,000,3159.17
2017-01-25,3149.55,3149.55,3149.55,3149.55,000,3149.55
2017-01-20,3123.14,3123.14,3123.14,3123.14,000,3123.14
2017-01-19,3101.30,3101.30,3101.30,3101.30,000,3101.30
2017-01-18,3113.01,3113.01,3113.01,3113.01,000,3113.01
2017-01-17,3108.77,3108.77,3108.77,3108.77,000,3108.77
2017-01-16,3103.43,3103.43,3103.43,3103.43,000,3103.43
2017-01-13,3112.76,3112.76,3112.76,3112.76,000,3112.76
2017-01-12,3119.29,3119.29,3119.29,3119.29,000,3119.29
2017-01-11,3136.75,3136.75,3136.75,3136.75,000,3136.75
2017-01-10,3161.67,3161.67,3161.67,3161.67,000,3161.67
2017-01-09,3171.24,3171.24,3171.24,3171.24,000,3171.24
2017-01-06,3154.32,3154.32,3154.32,3154.32,000,3154.32
